grove_voc1,grove_no2,grove_eth,grove_co,ens_tvoc,ens_co2,temperature,pressure,altitude,humidity,"label
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98856.99,207.54,14.77,"ambient
"
1.57,1.16,1.41,2.11,0.00,0.00,26.90,98860.68,207.22,14.77,"ambient
"
1.57,1.16,1.41,2.11,0.00,0.00,26.90,98858.53,207.41,14.77,"ambient
"
1.57,1.16,1.41,2.11,0.00,0.00,26.90,98858.10,207.44,14.79,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.90,98858.53,207.41,14.79,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98858.28,207.43,14.83,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.90,98858.45,207.41,14.77,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98857.60,207.48,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98857.59,207.48,14.83,"ambient
"
1.57,1.15,1.41,2.10,0.00,0.00,26.90,98857.59,207.48,14.75,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98856.38,207.59,14.76,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98859.56,207.32,14.77,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98859.75,207.30,14.80,"ambient
"
1.58,1.15,1.41,2.11,0.00,0.00,26.89,98858.41,207.42,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.89,98856.86,207.55,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.89,98856.52,207.58,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98858.71,207.39,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98856.99,207.54,14.81,"ambient
"
1.57,1.15,1.41,2.10,0.00,0.00,26.90,98859.05,207.36,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98860.00,207.28,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98858.96,207.37,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98859.23,207.35,14.83,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98858.20,207.43,14.79,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98858.28,207.43,14.76,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98857.25,207.52,14.83,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98857.08,207.53,14.80,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98857.16,207.52,14.79,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98856.64,207.36,14.76,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98855.19,207.69,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.89,98857.47,207.50,14.82,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.90,98859.14,207.35,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.89,98857.89,207.46,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98858.71,207.39,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.89,98856.86,207.55,14.81,"ambient
"
1.57,1.15,1.40,2.10,0.00,0.00,26.90,98857.42,207.50,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.90,98857.60,207.48,14.82,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.89,98856.17,207.61,14.81,"ambient
"
1.57,1.15,1.40,2.10,0.00,0.00,26.90,98857.25,207.51,14.89,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.89,98857.22,207.52,14.81,"ambient
"
1.57,1.15,1.41,2.11,0.00,0.00,26.89,98855.15,207.69,14.82,"ambient
"
1.57,1.14,1.40,2.10,0.00,0.00,26.89,98854.89,207.71,14.85,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98856.27,207.60,14.74,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98858.77,207.39,14.81,"ambient
"
1.57,1.15,1.40,2.11,0.00,0.00,26.89,98856.01,207.37,14.85,"ambient
"
1.56,1.14,1.40,2.10,0.00,0.00,26.89,98857.57,207.49,14.81,"ambient
"
1.57,1.14,1.40,2.10,0.00,0.00,26.88,98854.57,207.74,14.81,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.88,98853.10,207.87,14.82,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98856.28,207.60,14.82,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98858.60,207.40,14.82,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98858.08,207.44,14.82,"ambient
"
1.57,1.14,1.40,2.10,0.00,0.00,26.89,98857.32,207.51,14.82,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.89,98856.53,207.58,14.82,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.88,98855.85,207.64,14.81,"ambient
"
1.57,1.14,1.40,2.11,0.00,0.00,26.88,98857.75,207.47,14.85,"ambient
"
1.56,1.14,1.40,2.10,0.00,0.00,26.89,98857.83,207.47,14.76,"ambient
"
1.56,1.14,1.40,2.11,0.00,0.00,26.89,98857.48,207.50,14.79,"ambient
"
